instances_per_class,cv_index,Validation_FFT_accuracy,Test_loss,Test_TOP_FFT_accuracy,Test_accuracy,Test_TOP_accuracy
1,0,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,1,0.0,0.604349449828819,0.0,0.009523809523809525,0.02857142857142857
1,2,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,3,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,4,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,5,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,6,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,7,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,8,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
1,9,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,0,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,1,0.0,0.604349449828819,0.0,0.009523809523809525,0.02857142857142857
2,2,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,3,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,4,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,5,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,6,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,7,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,8,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
2,9,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,0,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,1,0.0,0.604349449828819,0.0,0.009523809523809525,0.02857142857142857
3,2,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,3,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,4,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,5,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,6,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,7,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,8,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
3,9,0.0,0.6108809510866801,0.0,0.009523809523809525,0.03333333333333333
4,0,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,1,0.0,0.5701865840841223,0.5,0.04285714285714286,0.09047619047619047
4,2,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,3,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,4,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,5,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,6,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,7,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,8,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
4,9,0.0,0.5735884485421358,0.0,0.047619047619047616,0.1
5,0,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,1,0.0,0.37401265071498024,0.5,0.34285714285714286,0.5333333333333333
5,2,0.0,0.5718851111553334,0.0,0.08095238095238096,0.12380952380952381
5,3,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,4,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,5,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,6,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,7,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,8,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
5,9,0.5,0.43473829053066393,0.5,0.28095238095238095,0.42857142857142855
